nom_,activites_,breve_description_,objets_ou_materiaux_concernes_,lactivite_de_la_structure_est-elle_en_sommeil_ou_a_letat_de_projet__,statut_juridique_,nombre_de_personnes_physiques_adherentes_ou_membres_du_projet,nombre_de_personnes_morales_adherentes_de_la_structure_,nombre_de_salaries,secteur_geographique_dintervention,description_complete,site_internet,numero_de_telephone,e-mail_en_fait_ils_ne_sont_pas_affiches_sur_le_site_pour_eviter_les_spams,nom_du_premier_local,adresse_du_premier_local,code_postal_du_premier_local,ville_du_premier_local,nom_du_deuxieme_local,adresse_du_deuxieme_local,code_postal_du_deuxieme_local,ville_du_deuxieme_local,logo,page_facebook,page_facebook_,nom_du_premier_contact,fonction_du_premier_contact,moyen_de_joindre_le_premier_contact,nom_du_deuxieme_contact,fonction_du_deuxieme_contact,moyen_de_joindre_le_deuxieme_contact,la_structure_est_une_antenne_locale_dune_structure_nationale_dont_le_siege_nest_pas_en_pays_de_la_loire,lien_vers_fiche_de_presentation_de_la_structure_chez_ecopole,lien_vers_fiche_de_presentation_du_deuxieme_local_chez_cartoquartiers,lien_vers_fiche_de_presentation_structure_dans_annuaire_ville_de_nantes,lien_vers_fiche_de_presentation_du_premier_local_chez_cartoquartiers,categorie_principale,lien_vers_noeud_openstreetmap_du_deuxieme_local,lien_vers_noeud_openstreetmap_du_premier_local,video_de_presentation,images,username,fee_id,expires_on
"Vrac en Retz","Vente de produits en vrac;Vente de produits zéro déchet","Épicerie Vrac ambulante du Pays de Retz - présente sur des marchés communaux, chez des producteurs (Maraîchers et Paysans Boulanger) en vente direct et dans des AMAPS","","La structure est active.","Entreprise privée ","1-10","1-2","1-2","Pays de Retz","Qui suis-je ?\n Fille de viticulteur Bio, passionnée de cuisine et de bons produits, je suis aussi adepte du ""fait mains"". \n Avec mon conjoint, nous sommes parents de 2 jeunes enfants, consommer bio et local un maximum fait partie de notre ADN familial mais pour la gestion des déchets c'est autre chose. Ainsi, depuis quelques mois nous nous sommes lancé le défi de diminuer nos déchets.\nQuel boulot ! L'organisation et l'anticipation, sont les maîtres mots !\nAnimatrice socioculturelle de métier, j'ai travaillé dans le secteur des loisirs et des vacances, puis dans le soutien à la parentalité à domicile.                                                                                  \nJe me décide alors à prendre une nouvelle voie afin de faire coïncider mes valeurs avec ma soif de rencontres et d'échanges en créant mon épicerie ambulante de produits en vrac.\n Mon idée : Une épicerie ambulante qui propose des produits biologiques au maximum locaux et distribués en VRAC\n Où : AMAP, marchés de producteurs, marchés du Pays de Retz. \n Quoi : Des produits alimentaires secs - Des produits d'entretien et d’hygiène - Des accessoires durables.\n Pourquoi : aider le consom'acteur à trouver un large choix de produits ""sans emballage"" sur les lieux où il fait ses courses habituellement. \n\nJe sillonne le Pays de Retz selon un planning à la quinzaine. Ce planning est en ligne tous les lundis sur Facebook pour la semaine.\nEn voici un aperçu !\nSemaine paire :  \n- Mardi soir à l'AMAP de la Montagne\n- Fermette du Bois Olive à Bouaye - Maraichers bio le mercredi de 14h30 à 18h \n- Marché de St Jean de Boiseau (sous les halles), le jeudi de 16h à 19h30 (+ lien avec l'AMAP)\n- Ferme des Clos Mouillés à Bourgneuf - Paysan Boulanger Bio le vendredi de 16h30 à 19h30 \n\nSemaine impaire :\n- Bouaye, sur le parking de la salle Jacqueline Auriol le lundi de 17h30 à 19h30  (en lien avec l'AMAP de Bouaye)\n- Marché de la Montagne le mercredi matin \n- Mondalin à St Viaud - Paysan Boulanger Bio le mercredi soir de 17h à 19h30 \n- Ferme de Sergonne à Frossay - Maraîcher Bio le jeudi de 16h à 19h \n- Marché de la Bernerie le vendredi matin \n- Marché du Pellerin le samedi matin\n\nAutres lieux\n- Jardin de  mon Père à Rouans - Maraîchers bio le mercredi soir à partir de 16h30  (dates à précises)","","06 83 72 47 39","vracenretz@gmail.com","","","","","","","","","1590,,VRAC-EN-RETZ-Rond.jpg","https://m.me/vracenretz?fbclid=IwAR11C09ni_tMKBmseMTzv8zDCPUv6HpUrXtUufaICPiExI3vh5LqRFHLyeQ","https://www.facebook.com/vracenretz/,","Aline Blot","Gérante","06 83 72 47 39 ou vracenretz@gmail.com","","","","Non","","","","","","","","","VRAC-EN-RETZ.jpg","VracNRoule","2",""
"Alterboutik","Organise des espaces de gratuité (inclus boîtes à don et boîtes à livres)","Le but de l’association est de proposer à tout public, un lieu de dons entre personnes, sans transaction d’argent ou de monnaie alternative, ni échange, ni troc. \n\n","__toutes les matières habituelles d'un particulier;bocaux;jouet;ordinateurs;tissus et vêtements","La structure est active.","Association","11-20","3-5","0","REZE","","http://alterboutik.wordpress.com,","","alterboutik@gmail.com","CSC Jaunais Blordière","3 square du Jaunais ","44400","REZE","","","","","1586,,AB-Logo.png","https://www.facebook.com/AlterBoutikReze","https://www.facebook.com/AlterBoutikReze,","Christine BANNIER","cofondatrice","alterboutik@gmail.com","","","","Non","","","","","","","","","81255912_812312912549212_4916214459732590592_o.jpg","AlterBoutik","2",""
"Nâga","Auto-réparation;Collecte des ordinateurs chez les professionnels;Formations (zéro déchet ou économie circulaire, transition énergétique...);Information sur la réduction des déchets à la source (hors stand);Information sur le recyclage (hors stand);Recyclage des ordinateurs / téléphones portables;Sites informatique ou applications (hors blogs)","Récupération d'ordinateurs, reconditionnement sous Linux et redistribution aux adhérent·e·s.","ordinateurs","La structure est active.","Association","plus de 100","11-20","1-2","Nantes Métropole","L'association a pour but de :\nFavoriser l'accès à l'informatique (précarité numérique, associations, ESS, humanitaire, éducation).\nPromouvoir les systèmes d'exploitation, les logiciels et contenus sous licences libres.\nRéduire l'impact écologique en réutilisant du matériel considéré comme déchet.\nFavoriser l'autonomie à travers des groupes d'entraide mutuelle.","https://www.naga44.org/,","02 85 52 31 22","contact@naga44.org","La Bonneterie","17 chemin fontaine LAUNAY","44400","Rezé","","","","","1582,,logo.png","","","Association","Association","02 85 52 31 22, contact@naga44.org","","","","Non","","","https://www.nantes.fr/infonantes/association/23453,","https://www.cartoquartiers.fr/obj/3/1459,","","","https://www.openstreetmap.org/node/4185626789,","","logo3.png","Naga","2",""
"Bidules chouettes","Récupération articles puériculture, jouets, livres ou vêtements enfants","Recyclerie de jouets et inclusion sociale. \nAssociation à but non lucratif, qui collecte et valorise des jeux et des jouets de seconde main, pour les revendre à petits prix, tout en développant des actions de solidarité. \nNantes & alentours. ","articles puériculture (poussettes, vêtements...);jouet;livres","La structure est active.","Association","11-20","0","1-2","Nantes métropole","L’association a pour objet d’encourager l’insertion sociale et professionnelle de personnes éloignées de l’emploi, de soutenir la parentalité et de participer au renforcement des solidarités locales ; tout en contribuant à la réduction des déchets : par la collecte, la récupération, la valorisation ainsi que la revente, le troc ou le don d’articles pour enfants, de seconde main ou destinés à être jetés ; et par des actions de sensibilisation et d’éducation à l’environnement. \n","","0670303920","bonjour.biduleschouettes@gmail.com","","","","","","","","","1577,,LELOGO-BIDULESCHOUETTES_.jpg","https://www.facebook.com/biduleschouettes","https://www.facebook.com/biduleschouettes,","Diane BÉGARD","Chargée de projet / Présidente","bonjour.biduleschouettes@gmail.com","","","","Non","","","https://www.nantes.fr/infonantes/association/26978#infonantesResult,","","","","","","LELOGO-BIDULESCHOUETTES_-1.jpg","RecyclerieBidulesChouettes","2",""
"la boite à récup","Éditeur de magazine papier ou vidéo;Récupération des livres en bon état;Récupére des objets usagés, les vérifie/nettoie et les revends;Recyclage de tissu/vêtement (hors atelier couture);Recyclage des articles de sport;Vente de produits d'occasion","recyclerie de quartier , récupère des objets en bon état (vinyls, jeux, jouets, vêtements)pour revente à petit prix.","anciens bijoux;jouet;livres;meuble;tissus et vêtements","La structure est active.","Association","11-20","0","2-5","quartier BREIL BARBERIE","","","06.99.62.12.45","laboitearecup@gmail.com","LA BOITE A RECUP","60 avenue Courteline ","44800","SAINT HERBLAIN","LA BOITE A RECUP","42 Boulevard Jean XXIII","44100","NANTES","","https://www.facebook.com/laboitearecup/","https://www.facebook.com/laboitearecup/,","chenais","président","06.99.62.12.45","","","","Non","","","","","","","","","ala-scaled.jpg","LaBoiteARecup","2",""
"Ecopôle - CPIE Pays de Nantes","Accompagnement d'écoles dans une démarche zéro déchet;Information sur la réduction des déchets à la source (hors stand);Information sur le recyclage (hors stand);Sensibilisation au gaspillage alimentaire;Sensibilisation ou ateliers avec des scolaires;Solution contre gaspillage alimentaire;Stand de conseil sur le recyclage;Stand sensibilisation réduction ""déchets""","Ecopôle, association labellisée CPIE Pays de Nantes, est un réseau d'associations, d'entreprises, de collectivités, de particuliers... agissant pour l'environnement et le développement durable dans l'agglomération nantaise. Comme tête de réseau, Ecopôle constitue un espace local d'information, d'échange, de médiation et de coopération.","__toutes les matières habituelles d'un particulier","La structure est active.","Association","21-50","plus de 50","10-25","Nantes Métropole","Créée en 2000, Écopôle, est un réseau d’acteurs locaux, constitué d’une centaine associations, et de plus de 150 organisations autres (entreprises, partenaires institutionnels et adhérents individuels) qui agissent dans le domaine de l’environnement et du développement durable. Labellisé en 2003 « Centre Permanent d’Initiatives pour l’Environnement », Écopôle constitue un espace local d’information, d’échange, de médiation et de coopération.\n\nSitué à Nantes, Écopôle est au service du territoire de l’agglomération nantaise et organise ses missions autour de trois pôles d’activités :\n- Pôle vie associative et vie du réseau\n- Pôle ressources et éducation\n- Pôle projets et territoires","http://www.ecopole.com/,","02.40.48.54.54","contact@ecopole.com","","17 rue de Bouillé ","44000","NANTES","","","","","1556,,logo-ecopole-CMJN.jpg","https://www.facebook.com/ecopole.cpie/","https://www.facebook.com/ecopole.cpie/,","Florian ROQUINARC'H","Chargé de mission DD","02.40.48.56.98 - florian.roquinarch@ecopole.com","","","","Non","","","","","","","","","logo-ecopole-CMJN-150x71-1.jpg","Ecopole","2",""
"l'Atelier du Bocal","Vente de produits en vrac;Vente de produits zéro déchet","Epicerie zéro déchet en quelques clics livrée en point de retrait ou à domicile sur Nantes et son agglomération.\nTous les contenants sont consignés.","","La structure est active.","Entreprise privée ","1-10","3-5","2-5","Nantes et agglomération","L'Atelier du bocal est une épicerie zéro déchet en ligne basé sur le principe de la consigne et du clic & collect. Le client fait sa commande en ligne puis choisi son lieu, date et créneau de retrait pour être livré au plus près de chez lui => Les courses zéro déchet clé en main!","https://www.latelierdubocal.com/,","0240973417","contact@latelierdubocal.com","l'Atelier du Bocal","14 rue des halles ","44430","Le loroux bottereau","","","","","1548,,L_Atelier_du_Bocal_Reserve.jpg","https://www.facebook.com/Latelier-du-bocal-392818371580363/","https://www.facebook.com/Latelier-du-bocal-392818371580363/,","Justine MERIT","Directeur général","0771811666","Julie MERIT","Président","0632272375","Non","","","","","","","","","site-internet.jpg;IMG_5421.jpg;IMG_5416.jpg;IMG_5414.jpg","LAtelierDuBocal","2",""
"Julie Audureau","Créations artisanales autour de matériaux réemployés (upcycling)","Détournement d'objets anciens en objets décoratifs : luminaires, miroirs, patères, cache pots...","__toutes les matières habituelles d'un particulier","La structure est active.","Entreprise privée ","1-10","1-2","0","100km","Avec ses créations insolites, Julie Audureau souhaite réveiller vos souvenirs, vous plonger dans une douce nostalgie et aussi vous surprendre !\n\nJulie commence par dénicher des objets anciens.\nCeux qu’elle aime, qu’on a connus, auxquels on tient parfois, et surtout qui nous racontent des histoires. \n\nDe retour dans son atelier à Longeville sur Mer, elle les détourne, les réinvente pour vous proposer des objets décoratifs uniques et originaux.\n\nJulie travaille aussi sur mesure avec des objets qui vous appartiennent.\n\nElle est membre du réseau Répar’Acteurs du Pays de la Loire, réseau qui vise à mettre en avant les artisans engagés à revaloriser, réparer et recycler.\nJulie est également membre des métiers d’art.\n","https://www.unik-market.com/boutique/julie-audureau,","0619538509","julieaudureau.creatrice@gmail.com","Julie Audureau","218 rue des Hêtres","85560","Longeville sur Mer","","","","","1539,,Logo-Julie-Audureau.jpg","https://www.facebook.com/julieaudureaucreatrice/","https://www.facebook.com/julieaudureaucreatrice/,","Julie Audureau","Multi casquette !","0619538509","","","","Non","","","","","","","","","Julie-Audureau.jpg;IMG_20200205_163410-scaled.jpg;IMG_20190806_130808.jpg;20190218_095826_HDR2-scaled.jpg;IMG_20181231_101138.jpg","JulieAudureauCreatrice","2",""
"Les Boîtes Vertes","Atelier sur compostage ou lombricompostage;Ateliers produits zéro ""déchet"";Blog (ou chaîne utube) sur le zéro déchet;Formations (zéro déchet ou économie circulaire, transition énergétique...);Organise des espaces de gratuité (inclus boîtes à don et boîtes à livres);Organise ou tient des conférences;Sensibilisation au gaspillage alimentaire;Sensibilisation ou ateliers avec des scolaires;Solution contre gaspillage alimentaire;Solutions de récupération des matières organiques (compostage...);Vente de produits zéro déchet","Défis citoyens zéro déchet - Lombricompostage formation, sensibilisation - Plateforme d'entre-aide pour le lombricompostage","cheveux;déchets organiques riches (restes alimentaires...);déchets verts (pelouse;déchets verts (pelouse, taille de haie...);papier et cartonnette","La structure est active.","Association","plus de 100","0","1-2","Nantes Métropole, Départementn région - Blog : monde","Accompagner le changement de paradigme sociétal est indispensable. Nous interrogeons nos modes de consommation à travers les défis citoyens (zéro déchet), mais aussi par la mise en pratique de gestes simples et efficaces comme le lombricompostage. \n\nDéfis citoyens : coordination, animation...\nLombricompostage : sensibilisation, formation, distribution collective, animation de la plateforme d'entre-aide plus2vers.com ","https://lesboitesvertes.fr,","0681149611","contact@lesboitesvertes.fr","Siège","25 avenue Joliot-Curie","44400","Rezé","","","","","1523,logo les boites vertes,LBV_logo250x340.png","https://www.facebook.com/Boites.Vertes/","https://www.facebook.com/Boites.Vertes/,","David REGNIER GARNELO","Coordinateur","0681149611, david.regnier@lesboitesvertes.fr","","","","Non","http://www.ecopole.com/adherents/boites-vertes-les/,","","https://www.nantes.fr/infonantes/association/20053,","","","","","","LBV_logo.png;logoP2V-vert225x150.png;IMG_20190622_112141-scaled.jpg;IMG_20191214_100949-scaled.jpg;atelier-lombricompostage.png","LesBoitesVertes","2",""
"ICI LE BONHEUR EST FAIT MAISON","Ateliers produits zéro ""déchet"";Blog (ou chaîne utube) sur le zéro déchet;Box cadeau zéro déchet;Conseils ou gestions des couches lavables;Créateur d'objets du mode de vie zéro déchet (cosmétiques, lingettes, couches....);Fabrication de produits zéro déchet;Organise ou tient des conférences;Vente de produits zéro déchet","1ère marque de vente à domicile d'articles et accessoires zéro déchet ! ","__toutes les matières habituelles d'un particulier","La structure est active.","Entreprise privée ","11-20","1-2","0","PAYS DE LA LOIRE ET FRANCE","Vente à domicile d'articles et accessoires zéro déchet. Un conseiller vous accompagne, lors d'un atelier à votre domicile, en compagnie de votre famille, de vos amis, de vos collègues, pour changer de mode de consommation, avec des astuces simples et efficaces et en vous présentant des articles éco-responsables & durables de la marque ICI LE BONHEUR EST FAIT MAISON. ","http://www.icilebonheurestfaitmaison.fr,","0670733309","contact@icilebonheurestfaitmaison.fr","","","","","","","","","1513,Logo ici le bonheur est fait maison,ICI-LE-BONHEUR-EST-FAIT-MAISON-logo.jpg","https://www.facebook.com/icilebonheurestfaitmaison/","https://www.facebook.com/icilebonheurestfaitmaison/,","BOURRIGAULT Elodie","créatrice-gérante","0670733309 - contact@icilebonheurestfaitmaison.fr","","","","Non","","","","","","","","https://youtu.be/vfa_wXNLYsQ,","3.2-organiser-un-atelier-scaled.jpeg;9.sac-en-tissus-scaled.jpg;mouchoirs-enfants-2.1-scaled.jpg;42.4-set-de-rasage-scaled.jpg;32.2-oriculi-scaled.jpg","IciLeBonheurEstFaitMaison","2",""
"Bout' à Bout'","Gestion et/ou développement de contenants consignés","Association qui vise à développer une filière régionale de réemploi des contenants (bouteilles en verre, fûts de bière, bocaux, ...)","bocaux;bouteilles de verre;futs de bière","La structure est active.","Association","51-100","3-5","2-5","Région pays de la Loire et prochainement Bretagne","L'association Bout' à Bout' est née de la volonté de réduire l’impact environnemental de nos bouteilles en verre. Elle vise à développer une filière régionale de réemploi de ces contenants, comme alternative à leur recyclage, qui reste énergivore.\n\nOutre ses valeurs écologiques, Bout’ à Bout’ promeut un modèle d’économie relocalisée favorisant les producteurs de notre territoire, l’emploi local et la coopération entre les acteurs.","http://www.boutabout.org/,","","contact@boutabout.org","","","","","","","","","1505,,logo-vert-1.png","https://www.facebook.com/boutaboutconsigne/","https://www.facebook.com/boutaboutconsigne/,","Emilie","Chargée de communication","contact@boutabout.org","Célie","Coordinatrice","contact@boutabout.org","Non","","","","","","","","","logo-vert.png","BoutABout","2",""
"Les Autres Possibles","Éditeur de magazine papier ou vidéo","Le magazine Les Autres Possibles informe les citoyens sur les solutions durables et solidaires du territoire nantais, autour de différentes thématiques : déchets, récup, biodiversité, changement climatique...","","La structure est active.","Association","21-50","0","2-5","Nantes","L'association Les Amis du MAP publie le magazine thématique bimestriel Les Autres Possibles, dont certains numéros sont consacrés à la gestion des déchets. En 2019, elle a fait paraître le guide ""Où acheter durable et solidaire à Nantes ?"", une sélection de 160 adresses de commerçants engagés, notamment pour la réduction des déchets. Elle propose également des ateliers d'éducation aux médias.","https://lesautrespossibles.fr/,","","redaction@lesautrespossibles.fr","Bureaux","4 place du 51e régiment d'artillerie","44000","Nantes","","","","","1496,Logo Les Autres Possibles,LogoMAP.png","https://www.facebook.com/lemapnantes/","https://www.facebook.com/lemapnantes/,","Marie Le Douaran","Chargée de communication","marie.ledouaran@lesautrespossibles.fr","","","","Non","","","https://www.nantes.fr/infonantes/association/24726,","","","","","","boutique25.jpg;MAP25.jpg;COM_GUIDE_promo_72dpi.jpg","LesAutresPossibles","2",""
"ZERO WASTE NANTES","Accompagnement d'écoles dans une démarche zéro déchet;Ateliers produits zéro ""déchet"";Blog (ou chaîne utube) sur le zéro déchet;Formations (zéro déchet ou économie circulaire, transition énergétique...);Groupe de pression (manifestes, pétitions, alertes...);Information sur la réduction des déchets à la source (hors stand);Information sur le recyclage (hors stand);Propose ou loue de la vaisselle non jetable;Sensibilisation au gaspillage alimentaire;Sensibilisation ou ateliers avec des scolaires;Stand sensibilisation réduction ""déchets""","Association citoyenne à Nantes et alentours pour la réduction des déchets et une meilleure gestion des ressources. Nous sommes un groupe local et relai des campagnes de l'association Zero Waste France.","","La structure est active.","Association","21-50","0","0","Nantes Métropole et alentours","Nous avons divers projets en cours : le plaidoyer et les municipales, le groupe jeunesse et les fêtes d'école zéro déchet, les ambassadeurs du zéro déchet avec une vingtaine de structures, un format sensibilisation en entreprise avec 2 structures, le respect des stop pub à Nantes et leur suivi, la tenue de stands ponctuels lors d'événements grand public, le prêt de gobelets réutilisables...\nPlus d'infos sur nos supports web !","https://zerowastenantes.fr/,","","info@zerowastenantes.fr","","","","","","","","","1492,,ZW-logo-horizontal.jpg","https://www.facebook.com/zerowastenantes/","https://www.facebook.com/zerowastenantes/,","Amandine FEUPIER","Membre active","info@zerowastenantes.fr","","","","Oui","http://www.ecopole.com/adherents/zero-waste-nantes/,","","","","","","","","ZW-logo-horizontal-1.jpg","ZeroWasteNantes","2",""
"Fédération des Amis de l'Erdre","Organise des collectes citoyenne de déchets;Sensibilisation ou ateliers avec des scolaires","La Fédération des Amis de l’Erdre est une association de protection et de valorisation de l'Erdre, ses affluents, ses marais et sa biodiversité.  ","","La structure est active.","Association","51-100","6-10","1-2","Nantes métropole, Nantes à Nort-sur-Erdre","La Fédération des Amis de l’Erdre (FAE), est une association qui a été créée en 1990 dans l’optique de protéger et de valoriser un patrimoine naturel commun : l’Erdre, ses affluents et ses marais. Trente ans après, elle regroupe une centaine de personnes et met en place, grâce à l’aide de ses deux salariées, des actions d’expertise écologique et de sensibilisation du public pour répondre aux objectifs suivants :\n- Améliorer la qualité des eaux,\n- Protéger et valoriser les zones humides,\n- Connaître et protéger la faune et la flore de l’Erdre\n- Sensibiliser les citoyens à la nature et aux problématiques environnementales,\n- Développer des loisirs compatibles avec les droits au calme et à la sécurité des usagers de l’Erdre tout en préservant la rivière et en favorisant l’accès aux rives,\n- Favoriser l’aménagement harmonieux et la protection du patrimoine naturel, bâti sur l’ensemble du bassin versant.","http://www.federation-des-amis-de-l-erdre.org/,","02 40 49 01 33","contact@fdamiserdre.fr","Maison des associations du Port Boyer","80, rue du Port Boyer\n","44300","Nantes","","","","","1487,,logo-compessé.jpg","https://www.facebook.com/fdamis.delerdre/","https://www.facebook.com/fdamis.delerdre/,","Gwendoline Monnier","Médiatrice rivière","contact@fdamiserdre.fr 06 78 00 16 11","","","","Non","http://www.ecopole.com/adherents/federation-des-amis-de-lerdre-la/,","","","","","","","","Totem-dechets.jpg;erdre11-scaled.jpg;74602824_1660715547397496_5422009694208131072_n.jpg","FederationDesAmisDeLErdre","2",""
"Ateliers zéro déchet","Accompagnement d'écoles dans une démarche zéro déchet;Accompagnement des professionnels sur la réduction des déchets dus à leurs métiers;Atelier de couture de tissus récupérés;Ateliers produits zéro ""déchet"";Créateur d'objets du mode de vie zéro déchet (cosmétiques, lingettes, couches....);Créations artisanales autour de matériaux réemployés (upcycling);Fabrication de produits zéro déchet;Formations (zéro déchet ou économie circulaire, transition énergétique...);Sensibilisation au gaspillage alimentaire;Sensibilisation ou ateliers avec des scolaires;Solution contre gaspillage alimentaire;Stand sensibilisation réduction ""déchets""","Des ateliers pour apprendre à tout faire soi-même : cosmétiques, produits ménagers, accessoires lavables en couture...","","La structure est active.","Entreprise privée ","1-10","0","0","Loire Atlantique","","http://atelierszerodechet.fr/,","06 33 28 52 75","contact@atelierszerodechet.fr","","","","","","","","","1478,,Logo-ateliers-zéro-déchet.jpg","https://www.facebook.com/atelierszerodechet/?modal=admin_todo_tour","https://www.facebook.com/atelierszerodechet,","Joséphine Dabilly","Fondatrice","06 33 28 52 75 / contact@atelierszerodechet.fr","","","","Non","http://www.ecopole.com/adherents/ateliers-zero-dechet/,","","","","","","","","LOGO-PICTOS.jpg;18-01-2020-1.jpg;19-09-2019-Copy.jpg;@LAUREN_KIMMINN_PHOTOGRAPHE-LAUTOMNE-DE-DRESS-ME-UP-ET-LAGENCE-MEOW-23-11-2019-26-scaled.jpg;Un-dimanche-au-bord-de-leau-Ecopole.jpg","AteliersZeroDechet","2",""
"Nous and Co","Organise des espaces de gratuité (inclus boîtes à don et boîtes à livres);Prête ou loue des biens au lieu de les posséder;Propose ou loue de la vaisselle non jetable;Récupération des livres en bon état","Nous and Co développe des projets d'économie du partage : boîtes à dons, Boutique du Partage (dons et prêts d'objets) à Nantes.","__toutes les matières habituelles d'un particulier","La structure est active.","Association","51-100","0","1-2","Nantes","	Nous and Co est une association spécialiste des pratiques de consommation non-marchandes : le don, le prêt, l'échange, la mise en bien commun.\n\nElle développe et promeut ces pratiques, aussi regroupées sous le nom d' ""économie du partage""  depuis 2013 en mettant en place différents projets citoyens et participatifs pour faciliter l'accès à ces pratiques.\n\nEmprunter et/ou donner des objets, partager ses savoir-faire, échanger des services... en toute gratuité et en se rencontrant entre habitant.e.s d'un même territoire, c'est ça, l'économie du partage !\n\n2 sites internet : https://www.nousandco.fr/ et  https://www.laboutiquedupartage.fr","https://www.nousandco.fr/,","0634396386","contact@nousandco.fr","La Boutique du Partage","09 rue Jules Noël","44100","Nantes","Nous and Co","08 rue Saint-Domingue","44200","Nantes","1473,,logo-NAC-couleurs-web_1.png","https://www.facebook.com/AssoNousandCo/","https://www.facebook.com/AssoNousandCo/,","Emilie Le Goff","Chargée de projets","0634396386","","","","Non","","","","","","","","","Inauguration-de-la-boutique-du-partage-1-scaled.jpg;IMG_20191106_180632-scaled.jpg;IMG_20191106_180549-scaled.jpg","NousAndCo","2",""
"OASIS environnement","Accompagnement des professionnels sur la réduction des déchets dus à leurs métiers;Formations (zéro déchet ou économie circulaire, transition énergétique...)","OASIS environnement accompagne les entreprises et leurs salariés vers un objectif ZERO déchet au bureau. Grâce à des diagnostics déchets, des formations et des défis, OASIS environnement apporte toutes les solutions pour réduire et mieux valoriser les déchets de bureau. ","_toutes les matières d'une entreprise non spécialisée","La structure est active.","Association","21-50","0","1-2","Région Pays de la Loire","Plus de 130kg de déchets par salarié et par an, moins de 1/3 sont recyclés. Un coût estimé entre 150€ et 250€ par salarié et par an (source Ademe 2019). Les déchets de bureau et le gaspillage sont une véritable problématique pour l'environnement. \nFace à ce défi, OASIS environnement propose des solutions de réduction et de valorisation en impliquant les salariés et mobilisant les structures de réemploi de l'ESS. \nA travers des diagnostics déchets, des formations et des défis, OASIS environnement accompagne les entreprises vers un objectif ZERO déchet au bureau. \n","http://www.oasis-environnement.org/,","07 69 49 90 17","contact@oasis-environnement.org","OASIS environnement","6 bis rue Léon Jost","44300","NANTES","","","","","1459,,logo-sans-baseline-720x720-1.png","https://www.facebook.com/OASISenvironnement/","https://www.facebook.com/OASISenvironnement/,","Cédric HENRAT","Coordinateur","07 69 49 90 17","","","","Non","http://www.ecopole.com/adherents/oasis-environnement-agir-pour-une-ville-sans-dechet/,","","","","","","","","logo-sans-baseline-720x720-1-150x150-1.png","cedrik44","2",""
"Bootcamp Edeni Nantes","Formations (zéro déchet ou économie circulaire, transition énergétique...)","Le bootcamp Edeni transition écologique c'est une aventure collective pour passer des convictions à l'action sur le zéro déchet et la transition écologique. Concrètement : 6 soirées de formation, un accompagnement quotidien de 6 semaines et une base documentaire synthèse de 5 ans de recherches !","__toutes les matières habituelles d'un particulier","La structure est active.","Porteur(s) de projet (sans statut particulier)","1-10","0","0","Nantes","Edeni est un collectif qui forme les particuliers et les entreprises à un mode de vie plus sain, plus écologique et plus éthique, crée en 2017 à Paris, il propose notamment les Bootcamps, des formations de 6 semaines pour passer de la conviction à l'action. \nEn 2020, le bootcamp est proposé à Nantes, avec des bons plans et des acteurs locaux. Chaque mardi soir pendant 6 semaines consécutives, dans un lieu en centre-ville vient te former sur un sujet de la transition écologique : zéro déchet, nutrition, climat et énergie, bien-être, pollution et surconsommation...\nTu hésites ? Inscris toi uniquement à la soirée n°1 sur le mode de vie zéro déchet.","https://www.edeni.fr/,https://www.facebook.com/bootcampedenipaysdelaloire/","","contact@edeni.fr","","","","","","","mathilde.bres@hotmail.fr","Nantes","1450,,Edeni-Pays-d-ela-Loire-logo-blanc.png","https://www.facebook.com/bootcampedenipaysdelaloire/","https://www.facebook.com/bootcampedenipaysdelaloire/,","Mathilde BRES","Formatrice du bootcamp","https://www.facebook.com/bootcampedenipaysdelaloire/","","","","Oui","","","","","","","","","Edeni-Pays-d-ela-Loire-logo-blanc-1.png;IMG_9248-copie-scaled.jpg;IMG_20200128_210105-scaled.jpg;P1140075-scaled.jpg;P1140056-v2-scaled.jpg","BootcampEdeni","2",""
"SupporTerre","Accompagnement des professionnels sur la réduction des déchets dus à leurs métiers;Formations (zéro déchet ou économie circulaire, transition énergétique...);Information sur la réduction des déchets à la source (hors stand);Organise des collectes citoyenne de déchets;Organise ou tient des conférences;Récupére des objets usagés, les vérifie/nettoie et les revends;Recyclage de tissu/vêtement (hors atelier couture);Recyclage des articles de sport;Réparation et revente;Sensibilisation ou ateliers avec des scolaires;Stand de conseil sur le recyclage;Stand sensibilisation réduction ""déchets"";Vente de produits d'occasion","L'association SupporTerre lie les enjeux du sport et du développement durable. Nous avons ouvert la première recyclerie du sport de la région = collecte, valorisation et vente des articles de sport inutilisés à des prix accessibles. ","tissus et vêtements","La structure est active.","Association","11-20","1-2","1-2","Nantes et sa métropole, département, région Pays de la Loire","","http://www.supporterre.fr/,","","contact@supporterre.fr","Recyclerie du sport","29 rue Corentin Bourveau","44100","Nantes","","","","","1442,,SupporTerre-Blanc-SF-.png"," www.facebook.com/supporterre","http://www.facebook.com/supporterre,","SupporTerre","-","-","","","","Non","","","","","","","","","Recyclerie-du-sport.jpg","SupporTerre","2",""
